State/Territory,Population
 District of Columbia,"672,228"
 New Jersey,"8,958,013"
 Puerto Rico,"3,680,058"
 Rhode Island,"1,056,298"
 Massachusetts,"6,794,422"
 Guam,"169,885"
 US Virgin Islands,"106,906"
 Connecticut,"3,590,886"
 American Samoa,"55,538"
 Maryland,"6,006,401"
 Delaware,"945,934"
 New York,"19,795,791"
 Florida,"20,271,272"
 Northern Mariana Islands,"55,070"
 Pennsylvania,"12,802,503"
 Ohio,"11,614,373"
 California,"39,144,818"
 Illinois,"12,859,995"
 Hawaii,"1,431,603"
 Virginia,"8,382,993"
 North Carolina,"10,042,802"
 Indiana,"6,619,680"
 Georgia,"10,214,860"
 Michigan,"9,922,576"
 South Carolina,"4,896,146"
 Tennessee,"6,600,299"
 New Hampshire,"1,330,608"
 Kentucky,"4,425,092"
 Louisiana,"4,670,724"
 Washington,"7,170,351"
 Wisconsin,"5,771,337"
 Texas,"27,469,114"
 Alabama,"4,858,979"
 Missouri,"6,083,672"
 West Virginia,"1,844,128"
 Minnesota,"5,489,594"
 Vermont,"626,042"
 Mississippi,"2,992,333"
 Arizona,"6,828,065"
 Arkansas,"2,978,204"
 Oklahoma,"3,911,338"
 Iowa,"3,123,899"
 Colorado,"5,456,574"
 Maine,"1,329,328"
 Oregon,"4,028,977"
 Utah,"2,995,919"
 Kansas,"2,911,641"
 Nevada,"2,890,845"
 Nebraska,"1,896,190"
 Idaho,"1,654,930"
 New Mexico,"2,085,109"
 South Dakota,"858,469"
 North Dakota,"756,927"
 Montana,"1,032,949"
 Wyoming,"586,107"
 Alaska,"738,432"
